Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoyNX0.Nqq8hfVZCJMmREX7hGus7YeZpXfCatsrpQsZpYcbik8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyNn0.ow3VkmdYPBBBx8Zj6rEeWTaQAg24X03kCjpd_WbtzHE&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoyN30._tW_GmFX109Az7wIQSMtuX8nx5R9vByhxnhy05fK6Ew&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoyOH0.ywXdvdjGN4IXj4y5SVPnqfi-vPISAdMPWpxpCR5SqV8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoyOX0.Jyb4kTy3KAs1lmfkHrDhxymfL2HoaEX_DXSaczRCB_g&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozMH0.jI0mZXQcgfussbUZiBSiUxQj6k7m0DsLvcp2Oovs49U&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozMX0.BBB6j95lFEXkkYMLZ9ueg_2_gGDMH9ZR94OBv_FRX4k&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjozMn0.JhtJP-euysAqYVAYcw9WwuoOh3HymuFZqeugsZ1IRs4&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozM30.sdZhA0ritrsZo4DmS0orlYEB95ltUyV9yvLQ6q6OzTQ&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjozNH0.xtyQirYK2yU76DLXP0LLgieUb14RxeSnzjyec2F-NiA&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozNX0.LJhdyVoTldLeF2A9RfgCAD0MZapFi0WnPNE1-vGcN9o&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozN30.D6z6ldRWLMIu05h5xgyEjgFWVXAdpw4RpN1ai5cCQcc&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozOH0.2lSPD-wo7FRSe4E0Cd4w0iLAgWKwdu-Ekx2ixu_CQLI&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozN30.D6z6ldRWLMIu05h5xgyEjgFWVXAdpw4RpN1ai5cCQcc&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozOH0.2lSPD-wo7FRSe4E0Cd4w0iLAgWKwdu-Ekx2ixu_CQLI&u_id=1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozN30.D6z6ldRWLMIu05h5xgyEjgFWVXAdpw4RpN1ai5cCQcc&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjozOX0.cCIg23hLQ7FD2jpFuD4dqftOPED4dmLONx6Oh7aZblI&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjo0MH0.TkqQAW6GxH3XBJT0_14pppb9yVt4Wc-q-7WEaSla2PA&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:24:06] "POST /auth/register/v2 HTTP/1.1" 200 -
